"tau","threshold_t_long_square","thumbnail_sweep_id","threshold_v_short_square","threshold_v_ramp","peak_v_short_square","avg_isi","sag","trough_t_ramp","threshold_t_ramp","slow_trough_v_ramp","adaptation","has_pause","electrode_0_pa","trough_v_long_square","input_resistance_mohm","id","latency","fast_trough_v_ramp","vm_for_sag","slow_trough_v_long_square","rheobase_sweep_id","peak_t_ramp","threshold_t_short_square","has_burst","upstroke_downstroke_ratio_short_square","slow_trough_t_long_square","threshold_v_long_square","fast_trough_t_long_square","ri","has_delay","upstroke_downstroke_ratio_ramp","trough_t_long_square","specimen_id","threshold_i_long_square","threshold_i_short_square","rheobase_sweep_number","peak_v_ramp","fast_trough_v_short_square","fast_trough_t_short_square","peak_t_short_square","threshold_i_ramp","slow_trough_v_short_square","fast_trough_t_ramp","slow_trough_t_short_square","trough_v_short_square","slow_trough_t_ramp","f_i_curve_slope","trough_t_short_square","peak_t_long_square","seal_gohm","fast_trough_v_long_square","upstroke_downstroke_ratio_long_square","trough_v_ramp","peak_v_long_square","vrest"
"37.5632431034873","1.117175","479908101","-47.2083371480306","-46.7500019073486","28.8125019073486","67.3628571428571","0.0311772804707289","2.2164","2.181025","-55.1406269073486","0.0532386912142649","False","-54.5056257073018","-56.2187538146973","295.840128","479921770","0.0207650000000001","-54.2500038146973","-100.90625","-55.2187538146973","479908119","2.1815825","1.022845","False","2.06868804222943","1.136265","-47.9687538146973","1.11892","319.866210222244","False","2.02644741968875","1.118985","479897420","30.0000019073486","93.3333333333333","39","27.7812509536743","-56.4895846048991","1.02446166666667","1.023295","29.0","-65.3020858764648","2.1828675","1.65513666666667","-65.3020858764648","2.2164","0.180524864424127","1.65513666666667","1.117655","1.453128192","-56.0937538146973","1.99761866706057","-55.1406269073486","26.3125019073486","-64.9805068969727"
"7.46136243068285","1.05728","585113127","-49.8229192097982","-40.4270846048991","45.75","76.4383333333333","0.0908697843551636","3.85363333333333","3.83722666666667","-52.1250038146973","-0.032704004330781","False","9.3975001391744","-56.9687538146973","420.26288","585127237","0.00938000000000017","-50.9062525431315","-101.562507629395","-56.9687538146973","585113028","3.83759333333333","1.02307333333333","False","3.80546763736261","1.08134","-41.3125","1.059","216.562539339066","False","3.92821483144458","1.08134","582857314","70.0","210.0","32","47.6979192097982","-55.6770858764648","1.02467333333333","1.02339333333333","70.4166666666667","","3.83908666666667","","-77.5833358764648","3.85363333333333","0.265118453865337","1.61386","1.05762","2.041581824","-52.4687538146973","3.88341566899251","-52.1250038146973","43.1250038146973","-77.1440124511719"
"24.3040510780118","1.11245","396428317","-43.5937509536743","-35.5729179382324","30.7890639305115","60.2106666666667","0.0564404875040054","4.76078833333333","4.74618833333333","-54.2812512715658","0.0371403162877558","False","-18.5599972890582","-53.0","182.000352","464363609","0.0330000000000001","-49.9166666666667","-94.28125","-53.0","396428337","4.74655333333333","1.023095","False","2.96327841935248","1.128095","-35.1250038146973","1.114445","167.656168341637","False","2.87690483910766","1.128095","370694659","80.0","690.0","45","34.6041666666667","-50.3437509536743","1.02460375","1.02341","93.1666666666667","-73.3750019073486","4.74808","1.5836975","-73.3750019073486","4.76078833333333","0.24498031496063","1.5836975","1.11281","1.123831936","-48.0625","2.95878916328666","-54.2812512715658","31.46875","-73.4158020019531"
"18.5390718014029","1.33654","576105873","-41.875","-40.2500019073486","39.578125","72.9953846153846","0.157440662384033","3.245","3.22758","-61.4375019073486","0.00532694714517941","False","-2.75499978732996","-59.1562538146973","208.22856","576117795","0.0368000000000002","-58.1875038146973","-81.40625","-59.1562538146973","576105867","3.228","1.02319","False","2.21960437137737","1.3522","-37.34375","1.33828","179.843753576279","False","2.586455470023","1.3522","576095991","70.0","469.999969482422","42","42.0312538146973","-58.9843788146973","1.02464","1.02357","55.1875","","3.22927","","-67.6250038146973","3.245","0.179186602289983","1.053","1.33698","1.533878272","-56.9062538146973","2.52061630228839","-61.4375019073486","42.1562538146973","-64.4421920776367"
"28.0158860517509","1.07284","509696562","-44.0312530517578","-33.5208358764648","40.6562507629395","53.8305882352941","0.0240890197455883","3.12294","3.10307333333333","-52.8125025431315","0.0178676858025102","False","-2.14249993614468","-52.0625038146973","269.279008","509716679","0.02366","-46.5937512715658","-97.3437576293945","-52.0625038146973","509696551","3.10372666666667","1.021884","False","4.84223618501379","1.08758","-35.9375038146973","1.0765","295.781284570694","False","3.72747868223861","1.08758","502143555","70.0","600.0","27","36.9166692097982","-50.9125030517578","1.025136","1.022332","52.0833333333333","-66.7750030517578","3.10796666666667","1.858712","-66.7750030517578","3.12294","0.229244306418219","1.858712","1.0734","1.39351936","-47.375","4.26967857393008","-52.8125025431315","40.125","-66.4731826782227"
"35.6840241890974","1.12942","486511710","-45.2916679382324","-37.9583346048991","30.7604173024495","61.05","0.117309264838696","3.211165","3.16994833333333","-53.4375038146973","0.0219615694983995","False","-27.5475007388559","-53.7812538146973","120.129272","486514219","0.0396400000000001","-46.4791692097982","-93.5937576293945","-53.7812538146973","486511706","3.17047333333333","1.02313666666667","False","2.98773558399912","1.163305","-41.0625","1.13176","225.000008940697","False","3.04851359527818","1.163305","486509644","50.0","560.0","27","37.25","-50.7187538146973","1.02536333333333","1.02357166666667","53.7499987284342","-70.2916717529297","3.17281333333333","1.71459333333333","-70.2916717529297","3.211165","0.193048780487805","1.71459333333333","1.129945","2.054470528","-47.5625038146973","2.95970401174193","-53.4375038146973","33.3125038146973","-69.0845108032227"
"29.3123749733283","1.29342","490943943","-46.234375","-36.609375","39.7968759536743","58.2290625","0.0573231093585491","2.3948725","2.361655","-52.0625019073486","0.0144015670229356","False","-11.8612498295478","-55.4062538146973","161.39776","490947093","0.062265","-49.4062538146973","-96.375","-55.4062538146973","490943939","2.3620925","1.02287","False","3.11649306182754","1.33551","-37.0","1.2955","278.906285762787","False","3.22697253501901","1.33551","490931049","30.0000019073486","390.0","32","42.671875","-55.7031278610229","1.02466625","1.02323","33.4999990463257","-68.8906307220459","2.3637125","1.46908875","-68.8906307220459","2.3948725","0.291149069575366","1.46908875","1.293855","1.437760256","-50.8125","2.93865475492602","-52.0625019073486","38.0625","-67.0109786987305"
"30.7516701037184","1.09918","515514887","-44.2437515258789","-31.520835240682","40.8875022888184","67.14","0.0883925259113312","4.63884666666667","4.61419333333333","-50.8333358764648","","False","22.1525003202272","-50.96875","214.247792","515520234","0.0338400000000001","-43.46875","-94.9375","","515514883","4.61472666666667","1.023008","False","3.40737185598652","","-34.3437538146973","1.10152","258.281350135803","False","2.51003270992543","1.12992","515511110","70.0","590.0","34","37.0416679382324","-49.2562515258789","1.024848","1.023392","89.875","","4.61651333333333","","-68.4187561035156","4.63884666666667","0.125284090909091","1.402036","1.09964","1.322751104","-44.2187538146973","2.97633931006486","-50.8333358764648","39.0625","-67.6213607788086"
"8.45375907923836","1.03032","509516505","-43.2656269073486","","28.6093759536743","6.69648648648649","0.00318750063888729","","","","-0.0001220341269455","False","26.007498238334","-61.6250038146973","160.287744","509516772","0.00626000000000015","","-85.375","","509516591","","1.02305333333333","False","1.26329608735797","","-33.71875","1.03122","123.906247317791","False","","1.03126","509516379","300.0","489.999969482422","90","","-61.8333365122477","1.02390333333333","1.02331666666667","","","","","-70.6770871480306","","0.697552447552448","1.49586333333333","1.03062","2.084907776","-61.5312538146973","1.18101900592135","","17.6875019073486","-70.3304824829102"
"11.3428607099089","1.14996","545193082","-48.2812530517578","-42.0104192097982","39.7437522888184","18.3641509433962","0.141937166452408","2.39279333333333","2.39185333333333","","0.00194699871812994","False","18.120000291888","-70.7500076293945","226.039264","545213044","0.0105600000000001","-69.7708384195964","-88.5","","545193094","2.39214666666667","1.022872","False","1.38137396165996","","-44.5625038146973","1.1509","191.249921917915","False","1.26563246864964","1.15096","545192313","40.0","260.0","34","34.5208346048991","-70.9187545776367","1.023704","1.023132","34.2916666666667","","2.39275333333333","","-71.0687530517578","","0.734205557054221","1.023744","1.15026","1.816854016","-70.5625076293945","1.3181791825484","-69.8645858764648","35.8125","-66.0131454467773"
