"max_euclidean_distance","number_tips","max_path_distance","overall_depth","neuron_reconstruction_type","number_bifurcations","total_volume","scale_factor_z","scale_factor_y","scale_factor_x","number_nodes","superseded","tags","average_parent_daughter_ratio","id","average_diameter","specimen_id","total_length","overall_width","number_stems","average_bifurcation_angle_local","number_branches","average_fragmentation","average_contraction","average_bifurcation_angle_remote","hausdorff_dimension","total_surface","max_branch_order","soma_surface","overall_height"
"99.7797241768086","40","126.593790172279","51.4886","dendrite-only","33","167.343085623457","0.28","0.1144","0.1144","1470","False","3D Neuron Reconstruction morphology","0.964510320389968","491119743","0.345091864655334","478107198","1666.08292559458","136.267521649507","7","82.7277810973656","73","20.7230769230769","0.864267432568298","","","1803.87564422001","6.0","435.740269600649","140.506828743116"
"432.383109562585","14","496.831994283078","92.6671","dendrite-only","9","921.571894719358","0.28","0.1144","0.1144","2011","False","3D Neuron Reconstruction morphology","0.86218269498544","546781359","0.634047290985911","502367941","2277.25937433188","370.170045366266","5","82.5066804937799","23","105.277777777778","0.903889966354689","","","4543.13907289201","3.0","1446.58772541902","566.701220153457"
"373.630444207227","25","436.958951908828","65.4696","dendrite-only","21","582.285423274458","0.28","0.1144","0.1144","3137","False","3D Neuron Reconstruction morphology","0.926632929890573","537042261","0.417928653364861","515771244","3589.33906195826","381.015114003528","4","77.5366780668317","46","73.6666666666667","0.863104126486085","","","4704.9104071175","6.0","287.11812285142","425.897625283263"
"943.382549424791","28","989.448317479123","99.9139","full","24","740.722806192659","0.28","0.1144","0.1144","4652","False","3D Neuron Reconstruction morphology","0.942049114155653","689123605","0.400395863904908","561435279","5416.22877799765","524.550155546089","4","76.5832223892476","52","95.9791666666667","0.900537089176196","","","6814.93329030379","11.0","180.994813076735","1217.69497571848"
"186.218008961405","18","221.639502209507","54.3718","full","14","69.1441455011549","0.28","0.1144","0.1144","1406","False","3D Neuron Reconstruction morphology","1.0","657879305","0.227626106499664","591268268","1659.46586885779","261.459057062212","4","72.019249823472","32","47.5357142857143","0.873517522034512","","","1185.77346167565","5.0","55.0552361247796","172.075940901786"
"334.802776345657","29","367.726711509372","73.4485","full","24","607.897093981671","0.28","0.1144","0.1144","2795","False","3D Neuron Reconstruction morphology","0.964472631992055","689594739","0.488085748162377","637034000","3223.39410332723","329.354162645378","5","76.9516534204621","53","55.875","0.882233919878524","","","4940.7785176708","10.0","230.678575387286","396.851132093926"
"107.89753306837","36","128.517407536202","44.52","dendrite-only","29","108.114603748737","0.28","0.1144","0.1144","1729","False","3D Neuron Reconstruction morphology","1.08519379612231","491120305","0.259648659460171","469753383","1825.6463207787","140.6123668267","7","68.4599090463419","65","28.2631578947368","0.889766585081575","","","1499.85829486244","6.0","358.755159133149","170.658637316345"
"208.960394508002","26","230.879637496807","60.2975","full","22","378.351251717184","0.28","0.1144","0.1144","1938","False","3D Neuron Reconstruction morphology","0.817027386531113","657256518","0.42361562481856","473540161","2263.66266057433","327.310902284944","4","77.9804392732071","48","41.7045454545455","0.919570950809402","","","3040.8479967252","4.0","356.208499117632","290.299645874726"
"500.505308841095","75","577.692574840173","168.5527","full","69","3584.4529994515","0.28","0.1144","0.1144","9796","False","3D Neuron Reconstruction morphology","0.938015345697979","702516390","0.536444699582708","539542640","12462.6525169714","670.20504764793","6","62.2073422392878","144","71.2992700729927","0.901603246045334","","","21947.3976149254","14.0","328.873510666662","729.549422055491"
"497.648623523094","56","521.353024362101","81.5942","dendrite-only","45","308.800517398896","0.28","0.1144","0.1144","3959","False","3D Neuron Reconstruction morphology","0.893874031775563","491771446","0.27867512530904","480114344","4664.6620852147","322.114402404582","11","74.5875410471451","101","42.685393258427","0.914961181861014","","","4078.01853354578","9.0","410.817692628377","615.612146610286"
"540.620963427187","76","636.639202320659","144.0522","full","68","1348.78601276352","0.28","0.1144","0.1144","10255","False","3D Neuron Reconstruction morphology","0.945157504841243","572836836","0.355141438455973","548473051","11838.0990340997","470.059820737946","8","70.2265420657493","144","74.1176470588235","0.899668797184924","","","13200.3399369478","14.0","352.914843733911","778.273891510757"
"444.976575274677","38","480.189191063252","80.6243","full","33","1542.84936861444","0.28","0.1144","0.1144","4632","False","3D Neuron Reconstruction morphology","0.967693666211877","603515571","0.569298140850593","571500474","5347.11013855008","495.502917681346","5","79.9704058644151","71","70.2461538461538","0.916528504728262","","","9562.70031756767","7.0","719.807277881648","572.448660055255"
"1368.98181264484","39","1493.3731230547","166.0871","full","32","4032.19887070084","0.28","0.1144","0.1144","5143","False","3D Neuron Reconstruction morphology","1.00103548022534","595952514","0.827986087891109","528614014","6576.66979899152","573.09746191377","7","68.7400757300611","71","78.078125","0.886851224158315","","","17369.6598806303","14.0","881.834479362099","1513.13200865553"
"330.210994768103","27","374.020622867082","151.1762","full","23","1129.57518446628","0.28","0.1144","0.1144","3259","False","3D Neuron Reconstruction morphology","1.0","644564684","0.593634336380879","574036994","3936.498550346","583.697986641085","4","79.4242695800555","50","69.8260869565217","0.873994461867242","","","7324.54121221249","5.0","443.34723281451","449.69550678258"
"363.176650722593","33","385.244480939495","150.0544","dendrite-only","27","99.3389504611774","0.28","0.1144","0.1144","2187","False","3D Neuron Reconstruction morphology","0.903473113669189","491770168","0.217684736238168","324025371","2548.75912421439","228.63141342106","6","73.4021542228108","60","39.5185185185185","0.889292411175483","","","1741.27607369005","7.0","242.32407507771","410.419127843519"
